id,outcode,lat,lng
1,AB10,57.131086,-2.122482
2,AB11,57.13121,-2.082261
3,AB12,57.098381,-2.1724
4,AB13,57.108,-2.237
5,AB14,57.101,-2.27
6,AB15,57.143396,-2.199525
7,AB16,57.161,-2.156
8,AB21,57.245343,-2.22555
9,AB22,57.187186,-2.131376
10,AB23,57.230843,-2.092813
11,AB24,57.16281,-2.112094
12,AB25,57.154591,-2.118918
13,AB30,56.851566,-2.469034
14,AB31,57.066594,-2.533141
15,AB32,57.151623,-2.372573
16,AB33,57.225,-2.741
17,AB34,57.094498,-2.815032
18,AB35,57.038,-3.149
19,AB36,57.197,-3.067
20,AB37,57.331,-3.351
21,AB38,57.486,-3.225
22,AB39,56.978,-2.217
23,AB41,57.376,-2.105
24,AB42,57.501,-1.888
25,AB43,57.637345,-2.066319
26,AB44,57.669,-2.492
27,AB45,57.651,-2.566
28,AB51,57.289,-2.405
29,AB52,57.344,-2.607
30,AB53,57.530753,-2.392198
31,AB54,57.454,-2.763
32,AB55,57.491337,-2.997465
33,AB56,57.666412,-2.906093
34,AL1,51.748873,-0.328511
35,AL10,51.764893,-0.240376
36,AL2,51.718527,-0.329894
37,AL3,51.79351,-0.400949
38,AL4,51.783294,-0.285137
39,AL5,51.820047,-0.366133
40,AL6,51.831016,-0.208101
41,AL7,51.797992,-0.183996
42,AL8,51.803892,-0.222712
43,AL9,51.746546,-0.19028
44,B1,52.4792,-1.910378
45,B10,52.468728,-1.853245
46,B11,52.458409,-1.852449
47,B12,52.463585,-1.900077
48,B13,52.43701,-1.882258
49,B14,52.420689,-1.885614
50,B15,52.462825,-1.927011
51,B16,52.479854,-1.935623
52,B17,52.464947,-1.967478
53,B18,52.490946,-1.927561
54,B19,52.49658,-1.908471
55,B2,52.479313,-1.899401
56,B20,52.516158,-1.919277
57,B21,52.509929,-1.941478
58,B23,52.526621,-1.855603
59,B24,52.518251,-1.825529
60,B25,52.464577,-1.837034
61,B26,52.462616,-1.781229
62,B27,52.443168,-1.821618
63,B28,52.426758,-1.83976
64,B29,52.43594,-1.944866
65,B3,52.480608,-1.903612
66,B30,52.421012,-1.925162
67,B31,52.410197,-1.974416
68,B32,52.437666,-2.001487
69,B33,52.477126,-1.788998
70,B34,52.494359,-1.785307
71,B35,52.51832,-1.788507
72,B36,52.500333,-1.78411
73,B37,52.47749,-1.753672
74,B38,52.396208,-1.926215
75,B4,52.483372,-1.890745
76,B40,52.462521,-1.727142
77,B42,52.531917,-1.910954
78,B43,52.548295,-1.924235
79,B44,52.546141,-1.884455
80,B45,52.383095,-2.002193
81,B46,52.502405,-1.680957
82,B47,52.392856,-1.878858
83,B48,52.359024,-1.940266
84,B49,52.214357,-1.866247
85,B5,52.465858,-1.903668
86,B50,52.175362,-1.844343
87,B6,52.510131,-1.882424
88,B60,52.317093,-2.04617
89,B61,52.348538,-2.087815
90,B62,52.439416,-2.047562
91,B63,52.450894,-2.071439
92,B64,52.474398,-2.069161
93,B65,52.48484,-2.04352
94,B66,52.49093,-1.968468
95,B67,52.484635,-1.980759
96,B68,52.482799,-2.000643
97,B69,52.501095,-2.030596
98,B7,52.494562,-1.864605
99,B70,52.525509,-2.003138
100,B71,52.528811,-1.986258
101,B72,52.550487,-1.821869
102,B73,52.552365,-1.854077
103,B74,52.583927,-1.861645
104,B75,52.587721,-1.802578
105,B76,52.546227,-1.7572
106,B77,52.615575,-1.667368
107,B78,52.594458,-1.68771
108,B79,52.670108,-1.65218
109,B8,52.490913,-1.843869
110,B80,52.283983,-1.886906
111,B9,52.47764,-1.851287
112,B90,52.397379,-1.824612
113,B91,52.414462,-1.77557
114,B92,52.428283,-1.744567
115,B93,52.370204,-1.7303
116,B94,52.34772,-1.790566
117,B95,52.273603,-1.787085
118,B96,52.264208,-1.973759
119,B97,52.297411,-1.973224
120,B98,52.308748,-1.905814
121,B99,52.495953,-1.894214
122,BA1,51.412421,-2.364541
123,BA10,51.119452,-2.425421
124,BA11,51.222273,-2.338774
125,BA12,51.153475,-2.153233
126,BA13,51.26019,-2.169008
127,BA14,51.321183,-2.183504
128,BA15,51.36125,-2.262028
129,BA16,51.129529,-2.751422
130,BA2,51.334721,-2.389162
131,BA20,50.937882,-2.645235
132,BA21,50.961038,-2.640292
133,BA22,50.967614,-2.615037
134,BA3,51.258476,-2.481704
135,BA4,51.152393,-2.532475
136,BA5,51.226542,-2.659097
137,BA6,51.137055,-2.710412
138,BA7,51.088054,-2.530787
139,BA8,51.012263,-2.411274
140,BA9,51.056438,-2.420397
141,BB1,53.755406,-2.456299
142,BB10,53.789249,-2.202298
143,BB11,53.77265,-2.267867
144,BB12,53.820884,-2.311476
145,BB18,53.91102,-2.165807
146,BB2,53.741,-2.5
147,BB3,53.698,-2.465
148,BB4,53.703,-2.29
149,BB5,53.754,-2.371
150,BB6,53.792,-2.417
151,BB7,53.874,-2.386
152,BB8,53.858,-2.163
153,BB9,53.856459,-2.233034
154,BB94,53.915243,-2.138033
155,BD1,53.795331,-1.754943
156,BD10,53.827504,-1.724543
157,BD11,53.745536,-1.676584
158,BD12,53.754484,-1.757602
159,BD13,53.796096,-1.861498
160,BD14,53.784158,-1.82565
161,BD15,53.812296,-1.846475
162,BD16,53.852957,-1.835035
163,BD17,53.849992,-1.759311
164,BD18,53.829517,-1.78032
165,BD19,53.730002,-1.714016
166,BD2,53.816628,-1.739159
167,BD20,53.906112,-1.973541
168,BD21,53.850815,-1.902782
169,BD22,53.850465,-2.004176
170,BD23,54.065761,-2.108685
171,BD24,54.107831,-2.254446
172,BD3,53.799674,-1.728295
173,BD4,53.773519,-1.702491
174,BD5,53.778323,-1.756019
175,BD6,53.766497,-1.784479
176,BD7,53.783309,-1.783879
177,BD8,53.80229,-1.788241
178,BD9,53.818663,-1.789009
179,BD97,53.850509,-1.837421
180,BD98,53.837717,-1.780013
181,BD98,53.837717,-1.780013
182,BD99,53.79447,-1.766539
183,BH1,50.725566,-1.871704
184,BH10,50.758082,-1.898459
185,BH11,50.760473,-1.921634
186,BH12,50.738831,-1.926102
187,BH13,50.704265,-1.929996
188,BH14,50.717734,-1.94383
189,BH15,50.712652,-1.99488
190,BH16,50.745831,-2.047985
191,BH17,50.750635,-1.963527
192,BH18,50.759083,-1.99756
193,BH19,50.633701,-1.996762
194,BH2,50.723265,-1.878313
195,BH20,50.691366,-2.132027
196,BH21,50.85094,-1.974827
197,BH22,50.807066,-1.887595
198,BH23,50.765128,-1.768778
199,BH24,50.852293,-1.76088
200,BH25,50.765682,-1.657841
201,BH3,50.734458,-1.881671
202,BH31,50.875015,-1.87281
203,BH4,50.721093,-1.897089
204,BH5,50.72601,-1.840529
